dyPerOne,dy,poolb0,poolb1
123444019731600762,124581868969335186306,10735269616962765774299,712301786005592464122509
121213766839556274,122325495118922132279,10612919646954864265844,713301786005592464122509
119034637690369118,120120889892898266830,10492774723270470821290,714301786005592464122509
116905365563262808,117966773359485227253,10374784347115195380907,715301786005592464122509
114824710244533253,115861892032626581489,10258899273431501847321,716301786005592464122509
112791458089303334,113805018970039725940,10145071484349623377939,717301786005592464122509
110804422016372142,111794953800996615400,10033254162610691389067,718301786005592464122509
108862441442525717,109830522690415440119,9923401665025780067508,719301786005592464122509
106964382162258591,107910578245420179734,9815469496028410023793,720301786005592464122509
105109136178454073,106033999370115438226,9709414281372306167112,721301786005592464122509
103295621489186767,104199691073930996033,9605193742020849374562,722301786005592464122508
101522781835443761,102406584238514720754,9502766668269681889759,723301786005592464122508
99789586414211489,100653635347794229749,9402092894139305068128,724301786005592464122508
98095029561043673,98939826185487161254,9303133272070227373229,725301786005592464122508
96438130405911648,97264163504017074311,9205849647949262716471,726301786005592464122508
94817932505841851,95625678668486702461,9110204836491926776975,727301786005592464122508
93233503457565674,94023427279072249754,9016162597002514576791,728301786005592464122508
91683934493144041,92456488774931257541,8923687609530349439447,729301786005592464122508
90168340061282371,90923966022461823318,8832745451437855110763,730301786005592464122508
88685857396820470,89424984890512091664,8743302574393503380826,731301786005592464122508
87235646080665827,87958693814915386409,8655326281800313701623,732301786005592464122508
85816887592237049,86524263354517501693,8568784706668414343688,733301786005592464122508
84428784856296243,85120885740667882127,8483646789938202510405,734301786005592464122508
83070561785874234,83747774421965048771,8399882259258850113686,735301786005592464122508
81741462822830111,82404163605878011583,8317461608225279849600,736301786005592464122508
80440752477435832,81089307798708893880,8236356076075270693837,737301786005592464122508
79167714868237161,79802481345216929801,8156537627847031511750,738301786005592464122508
77921653263313100,78542977969089742003,8077978934996395333224,739301786005592464122507
76701889623936793,77310110315323738418,8000653356471724791337,740301786005592464122507
75507764151531052,76103209495460975958,7924534920243671686333,741301786005592464122507
74338634838710377,74921624636524337458,7849598305286091621717,742301786005592464122507
